timestamp,Open,High,Low,Close,Volume
2025-05-06 09:30:00,196.89,197.04,196.89,196.97,3506.0
2025-05-06 09:35:00,196.98,196.98,196.98,196.98,167.0
2025-05-06 09:45:00,196.81,196.9,196.79,196.9,10775.0
2025-05-06 09:50:00,197.02,197.09,197.02,197.09,758.0
2025-05-06 09:55:00,197.1,197.14,197.06,197.14,1108.0
2025-05-06 10:00:00,197.11,197.13,197.06,197.08,3172.0
2025-05-06 10:15:00,197.23,197.23,197.19,197.23,2027.0
2025-05-06 10:20:00,197.26,197.26,197.23,197.23,426.0
2025-05-06 10:30:00,197.27,197.39,197.26,197.39,461.0
2025-05-06 10:35:00,197.44,197.51,197.44,197.51,1523.0
2025-05-06 10:40:00,197.46,197.46,197.46,197.46,1006.0
2025-05-06 10:45:00,197.37,197.44,197.37,197.44,1734.0
2025-05-06 10:50:00,197.51,197.51,197.51,197.51,323.0
2025-05-06 10:55:00,197.54,197.55,197.54,197.55,3288.0
2025-05-06 11:00:00,197.6,197.66,197.51,197.66,24513.0
2025-05-06 11:05:00,197.68,197.68,197.62,197.65,2668.0
2025-05-06 11:10:00,197.71,197.71,197.66,197.66,10397.0
2025-05-06 11:15:00,197.49,197.52,197.41,197.41,6949.0
2025-05-06 11:20:00,197.36,197.39,197.11,197.11,20473.0
2025-05-06 11:25:00,197.14,197.14,196.94,197.02,23421.0
2025-05-06 11:30:00,197.06,197.14,196.98,197.14,7738.0
2025-05-06 11:35:00,197.15,197.3,197.15,197.23,3685.0
2025-05-06 11:40:00,197.24,197.26,197.14,197.22,2122.0
2025-05-06 11:45:00,197.21,197.22,197.16,197.16,1882.0
2025-05-06 11:50:00,197.0,197.0,196.8,196.87,40607.0
2025-05-06 11:55:00,196.9,196.96,196.85,196.96,16378.0
2025-05-06 12:00:00,197.27,198.6,196.8396,197.2,25545.0
2025-05-06 12:05:00,197.19,197.23,197.14,197.15,8063.0
2025-05-06 12:10:00,197.25,197.25,197.07,197.21,2916.0
2025-05-06 12:15:00,197.25,197.25,197.16,197.21,8456.0
2025-05-06 12:20:00,197.15,197.19,197.15,197.18,1480.0
2025-05-06 12:25:00,197.14,197.14,197.0,197.06,16999.0
2025-05-06 12:30:00,197.05,197.05,196.79,196.8,14682.0
2025-05-06 12:35:00,196.8,196.8499,196.75,196.8,39920.0
2025-05-06 12:40:00,196.8,196.93,196.75,196.88,6252.0
2025-05-06 12:45:00,196.78,197.0,196.77,197.0,5740.0
2025-05-06 12:50:00,196.99,197.14,196.96,197.13,5056.0
2025-05-06 12:55:00,197.16,197.24,197.16,197.23,11344.0
2025-05-06 13:00:00,197.24,197.24,197.09,197.1,18931.0
2025-05-06 13:05:00,197.11,197.11,197.0,197.05,17457.0
2025-05-06 13:10:00,197.01,197.01,196.9,196.95,12716.0
2025-05-06 13:15:00,196.94,196.98,196.81,196.89,8226.0
2025-05-06 13:20:00,196.89,196.89,196.67,196.67,20619.0
2025-05-06 13:25:00,196.7,196.7,196.48,196.57,22920.0
2025-05-06 13:30:00,196.59,197.37,196.38,197.36,1100170.0
2025-05-06 13:35:00,197.36,197.57,197.215,197.4,566732.0
2025-05-06 13:40:00,197.39,197.41,196.72,196.77,557629.0
2025-05-06 13:45:00,196.78,197.02,195.98,196.05,632906.0
2025-05-06 13:50:00,196.05,196.12,195.64,196.11,555355.0
2025-05-06 13:55:00,196.12,196.46,196.08,196.34,466198.0
2025-05-06 14:00:00,196.37,196.79,196.32,196.55,243175.0
2025-05-06 14:05:00,196.58,196.81,196.37,196.78,251424.0
2025-05-06 14:10:00,196.79,197.2,196.69,197.02,224276.0
2025-05-06 14:15:00,197.03,197.42,197.005,197.35,515140.0
2025-05-06 14:20:00,197.35,197.94,197.35,197.82,662064.0
2025-05-06 14:25:00,197.83,197.9599,197.65,197.93,248597.0
2025-05-06 14:30:00,197.92,197.96,197.75,197.86,178757.0
2025-05-06 14:35:00,197.87,197.99,197.7,197.8358,231799.0
2025-05-06 14:40:00,197.86,197.9043,197.75,197.81,91491.0
2025-05-06 14:45:00,197.8,198.01,197.78,197.85,167146.0
2025-05-06 14:50:00,197.85,197.85,197.475,197.475,228850.0
2025-05-06 14:55:00,197.47,197.72,197.42,197.657,178188.0
2025-05-06 15:00:00,197.64,197.91,197.64,197.75,129539.0
2025-05-06 15:05:00,197.73,197.85,197.585,197.615,82682.0
2025-05-06 15:10:00,197.6301,197.89,197.56,197.885,121403.0
2025-05-06 15:15:00,197.89,197.93,197.6901,197.92,155724.0
2025-05-06 15:20:00,197.93,198.19,197.91,198.13,94557.0
2025-05-06 15:25:00,198.105,198.27,198.0,198.24,378484.0
2025-05-06 15:30:00,198.25,198.255,197.94,198.21,69644.0
2025-05-06 15:35:00,198.215,198.26,198.13,198.26,87880.0
2025-05-06 15:40:00,198.25,198.27,197.79,197.82,196528.0
2025-05-06 15:45:00,197.85,198.0201,197.77,197.97,54598.0
2025-05-06 15:50:00,197.9801,197.985,197.665,197.72,136440.0
2025-05-06 15:55:00,197.72,197.8,197.68,197.72,75385.0
2025-05-06 16:00:00,197.715,198.05,197.71,197.995,67577.0
2025-05-07 09:30:00,198.57,198.57,198.57,198.57,709.0
