timestamp,Open,High,Low,Close,Volume
2025-05-06 09:30:00,311.28,311.28,311.27,311.27,384.0
2025-05-06 09:35:00,311.28,311.28,311.28,311.28,208.0
2025-05-06 09:40:00,311.26,311.49,311.26,311.45,2549.0
2025-05-06 09:45:00,311.5,311.5,311.5,311.5,403.0
2025-05-06 09:50:00,311.38,311.65,311.38,311.65,1688.0
2025-05-06 09:55:00,311.69,311.8,311.69,311.8,2161.0
2025-05-06 10:00:00,311.82,311.87,311.8,311.87,2445.0
2025-05-06 10:05:00,311.67,311.78,311.63,311.7,2850.0
2025-05-06 10:15:00,311.72,311.72,311.67,311.67,559.0
2025-05-06 10:20:00,311.63,311.63,311.4,311.4,5566.0
2025-05-06 10:25:00,311.49,311.52,311.43,311.46,1772.0
2025-05-06 10:30:00,311.44,311.5,311.44,311.5,5346.0
2025-05-06 10:35:00,311.28,311.28,311.28,311.28,1043.0
2025-05-06 10:40:00,311.27,311.42,311.27,311.42,5139.0
2025-05-06 10:45:00,311.46,311.5,311.28,311.5,11210.0
2025-05-06 10:50:00,311.54,311.6,311.54,311.6,6467.0
2025-05-06 10:55:00,311.61,311.84,311.61,311.84,8531.0
2025-05-06 11:00:00,311.84,311.9,311.69,311.83,9670.0
2025-05-06 11:05:00,311.8,311.85,311.76,311.76,1668.0
2025-05-06 11:10:00,311.77,311.81,311.73,311.73,1930.0
2025-05-06 11:15:00,311.71,311.71,311.67,311.7,9909.0
2025-05-06 11:20:00,311.83,312.0,311.83,311.92,6132.0
2025-05-06 11:25:00,311.81,311.81,311.51,311.51,2271.0
2025-05-06 11:30:00,311.65,311.65,311.46,311.46,3735.0
2025-05-06 11:35:00,311.37,311.37,311.01,311.24,4219.0
2025-05-06 11:40:00,311.12,311.2,310.99,310.99,5883.0
2025-05-06 11:45:00,311.03,311.29,311.03,311.29,1982.0
2025-05-06 11:50:00,311.35,311.5,311.35,311.43,1204.0
2025-05-06 11:55:00,311.4,311.5,311.4,311.5,1867.0
2025-05-06 12:00:00,311.9683,311.97,309.0,311.15,72619.0
2025-05-06 12:05:00,311.1,311.25,310.99,311.25,9860.0
2025-05-06 12:10:00,311.0902,311.5,311.0902,311.3,1484.0
2025-05-06 12:15:00,311.09,311.09,310.94,311.0,8824.0
2025-05-06 12:20:00,311.08,311.4,311.08,311.32,16491.0
2025-05-06 12:25:00,311.28,311.35,311.13,311.2,8923.0
2025-05-06 12:30:00,311.22,311.85,311.15,311.85,13968.0
2025-05-06 12:35:00,311.98,312.34,311.87,312.34,12686.0
2025-05-06 12:40:00,312.39,312.63,312.34,312.35,24747.0
2025-05-06 12:45:00,312.38,312.38,312.0,312.16,28644.0
2025-05-06 12:50:00,312.1685,312.28,312.02,312.268,20052.0
2025-05-06 12:55:00,312.34,312.55,312.22,312.55,11577.0
